'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'https://scholarlyeditions.brill.com/sego/','Supplementum Epigraphicum Graecum','USA','Greece','Ancient','historical sources','yes','unknown',,'access costs'
'http://ppret-inscriptions.huma-num.fr/en/','PPRET Inscriptions. Les Préféts du Prétoire de l’Empire Tardif','France','Europe','Ancient','historical sources','yes','each via page, couldn’t find repo or zip',,
'https://petrae.huma-num.fr/fr/inscriptions/liste','Petrae. Inscriptions','France','Europe','Ancient','historical sources','yes','each via page, couldn’t find repo or zip',,'only samples are available, not all of them'
'https://github.com/PerseusDL','Perseus Digital Library','USA','Europe','Ancient','multiple editions','yes','via github',,'texts from ancient greek and latin and their translations'
'https://pandektis.ekt.gr/pandektis/','Digital Thesaurus of Primary Sources for Greek History and Culture','Greece','Greece','Ancient – Modern','miscellaneous','not found','unknown',,
'https://github.com/OpenGreekAndLatin','Open Greek and Latin Project of Machine-Corrected XML',,'Greece, Italy','Ancient','multiple editions','yes','via github',,'what are machine-corrected xml-files?'
'https://wiki.digitalclassicist.org/A_Nastro_Inscriptions_from_Roman_Catacombs','A Nastro Inscription from Roman Catacombs','Italy','Italy','Ancient','inscriptions','yes','unknown','no','Project seems to be dead '
'https://textalign.net/quran/','Corpus Coranicum Christianum. Collated Editions','Germany','Middle East','Ancient','prose','yes','via dropbox-link',,
'https://sinai.library.ucla.edu/','Sinai Palimpsests Project','USA','Middle East','Ancient – Medieval','miscellaneous','yes','unknown',,'Login needed to browse images and metadata of palimpsests'
'https://wiki.digitalclassicist.org/Testi_Minoici_Trascritti_On_Line','Testi Minoici Trascritti On Line','Italy','Greece','Ancient','prose','yes','unknown',,'Project seems to be dead '
'https://elephantine.smb.museum/search/','Text and Scripts from Elephantine Island in Egypt','Germany','Egypt','Ancient','miscellaneous','yes','each via page, couldn’t find repo or zip',,'maybe the data could be accessible via papyri.info'
'https://peace.sites.uu.nl/','PEACE – Portal of Epigraphy, Archaeology, Conservation and Education on Jewish Funerary Culture','Netherlands','Europe','Ancient – Modern','inscriptions','not found','unknown',,'seems to be a page that links to resources hosted on other pages'
'https://wiki.digitalclassicist.org/Parma_Digital_Medical_Library','Parma Digital Medical Library','Italy','Europe','Ancient','prose','not found','unknown',,'Project seems to be dead '
'https://dasi.cnr.it/','Digital Archive for the Study of Pre-Islamic Arabian Inscriptions','Italy','Arabia','Ancient','multiple editions','not found','unknown',,
'https://ogham.celt.dias.ie/menu.php?lang=en&menuitem=81','Ogham in 3D','Ireland','Ireland','Ancient – Medieval','inscriptions','yes','via zip-link',,'TEI-Xml contains all the metadata of the 3D-Image'
'http://mama.csad.ox.ac.uk/project/website.html','Monumenta Asiae Minoris Antiqua XI','Great Britain','Turkey','Ancient','inscriptions','yes','each via page, couldn’t find repo or zip',,'TEI-Xml contains a description of the epigraphy'
'https://db.mappola.eu/info/data','Mappola. Roman Verse Inscriptions','Germany, Italy','Italy','Ancient','inscriptions','yes','each via page, couldn’t find repo or zip',,
'https://papyri.uni-koeln.de/magica-levantina/about.html#technical','Magica Levantina','Germany','Europe','Ancient','prose','yes','unknown','no','Project seems to be dead '
'https://github.com/DFHG-project','Digital Fragmenta Historicorum Graecorum (DFGH) ','Germany','Europe','Ancient','prose','yes','via github',,'“xml files have been automatically generated from data stored in the DFHG database and are encoded in accordance with the CTS/CITE Architecture. The repository contains two kinds of files arranged by DFHG authors:

    EpiDoc xml files that are encoded in accordance with EpiDoc standards and represent the structure of the edition of the FHG.”'
'https://wiki.digitalclassicist.org/Latium_Vetus','Latium Vetus','Italy','Italy','Ancient','inscriptions','yes','unknown','no','Project seems to be dead '
'https://latinnow.eu/online-resources-2/databases-and-data/','Latin Now','Great Britain','Europe','Ancient','miscellaneous','yes','unknown','no','umbrella project for multiple projects (like “roman inscriptions of Britain online”)'
'https://wiki.digitalclassicist.org/Latin_Inscriptions_from_Albania','Latin Inscriptions of Albania','Germany','Albania','Ancient','inscriptions','not found','unknown',,'Project seems to be dead '
'https://dspace-clarin-it.ilc.cnr.it/repository/xmlui/handle/20.500.11752/OPEN-548','Cretan Institutional Inscriptions','Italy','Greece','Ancient','inscriptions','yes','via curl','yes',
'https://ircyr2020.inslib.kcl.ac.uk//en/inscriptions/zip/','Inscriptions of Roman Cyrenaica','Great Britain','North Africa','Ancient','inscriptions','yes','via zip-link',,
'https://inslib.kcl.ac.uk/','Inscriptions of Libya','Great Britain','North Africa','Ancient','inscriptions','yes','unknown','no',
'https://amsacta.unibo.it/id/eprint/5863/','Inscriptions of Greek Cyrenaica and Greek Verse Inscriptions of Cyrenaica','Italy','North Africa','Ancient','inscriptions','yes','via zip-link',,
'https://wiki.digitalclassicist.org/Inscriptiones_Graecae_et_Latinae_Bruttiorum_(BILG)','Inscriptiones Graecae et Latinae Bruttiorum (BILG)','Italy','Europe','Ancient','inscriptions','not found','unknown',,'Project seems to be dead '
'https://staging-rdm.fdr.uni-hamburg.de/records/es4cq-c7p42','Epigraphic Database of ancient Asia Minor','Germany','Turkey','Ancient','inscriptions','yes','via zip-link','no',
'https://edv.seai.uniroma1.it/en/inscriptions/','Epigraphic Database Vernacular','Italy','Italy','Ancient','inscriptions','yes','each via page, couldn’t find repo or zip',,
'https://edh.ub.uni-heidelberg.de/data/download','Epigraphic Database Heidelberg','Germany','Europe','Ancient','inscriptions','yes','via zip-link',,
'https://epigraphy.iliauni.edu.ge/en/','Epigraphic Corpus of Georgia','Georgia','Georgia','Ancient','inscriptions','not found','unknown',,'Page is buggy'
'epicum.istc.cnr.it','Epigraphs of Castello Ursino Museum','Italy','Italy','Ancient – Medieval','inscriptions','yes','each via page, couldn’t find repo or zip',,
'http://hisoma.huma-num.fr/exist/apps/EIAD/works/','Early Inscriptions of Andhradesa','France','India','Ancient – Medieval','inscriptions','yes','each via page, couldn’t find repo or zip',,'Not sure how this differs from the DHARMA Project ?'
'https://github.com/erc-dharma','DHARMA Project. The Domestication of “Hindu” Asceticism and the Religious Making of South and Southeast Asia (2019 – 2025)','France, Germany','India','Ancient – Medieval','multiple editions','yes','via github','no',
'https://dodonaonline.com/','Dodona Online','Greece','Greece','Ancient','inscriptions','not found','unknown','no',
'http://www.steinheim-institut.de/cgi-bin/epidat?info=howtoharvest','Datenbank zur jüdischen Grabsteinepigraphik','Germany','Germany','Ancient – Present','inscriptions','yes','each via page, couldn’t find repo or zip',,'repo/zip should exist, but link didn’t work'
'http://curses.csad.ox.ac.uk/','Curse Tablets of Roman Britain','Great Britain','Great Britain','Ancient – Medieval','inscriptions','not found','unknown',,'page is buggy'
'http://sicily.classics.ox.ac.uk','Crossreads Sicily','Great Britain','Italy','Ancient – Medieval','inscriptions','yes','each via page, couldn’t find repo or zip','no',
'http://hisoma.huma-num.fr/exist/apps/pyu/works/','Corpus of Pyu Inscriptions','France','Myanmar','Ancient','inscriptions','yes','each via page, couldn’t find repo or zip',,
'http://cpi.csad.ox.ac.uk/about/','Corpus of Ptolemaic Inscriptions','Great Britain','Egypt','Ancient','inscriptions','not found','unknown','no',
'https://wiki.digitalclassicist.org/Corpus_of_Ancient_Label_Inscriptions','Corpus of Ancient Label Inscriptions','Germany',,'Ancient','inscriptions','not found','unknown',,'Project seems to be dead '
'https://megadigital.bbaw.de/about/text.xql?id=M0001265','Marx Engels Gesamtausgabe Digital','Germany','Germany','Modern – Present','miscellaneous','not found','unknown','no','TEI-Xml files not published yet'
'https://ancientwisdoms.ac.uk/library/index.html','SAWS Dynamic Library. Sharing Ancient Wisdoms','Great Britain',,'Ancient','multiple editions','not found','unknown',,'page is buggy'
'https://pmb.acdh.oeaw.ac.at/export/','Personen der Moderne Basis','Austria','Austria','Present','relations, not an edition as such','yes','via zip-link',,'project is rather a entity relation db, not an edition'
'https://schnitzler-zeitungen.acdh.oeaw.ac.at/','Arthur Schnitzler: Archiv der Zeitungsausschnitte','Austria, Great Britain','Austria','Present','prose','not found','unknown',,'probably only snippets from newspapers but not transkriptions'
,'Arthur Schnitzler: Tagebuch',,,,,,,,
